"['tt0054095', ""['Drama', 'War']"", 'The Mountain Road', '1960-06-15', '7.0']","['James Stewart', 'Glenn Corbett', 'Harry Morgan', 'William Goetz']"
"['tt0054098', ""['Drama', 'Foreign', 'Romance']"", 'Mughal-e-Azam', '1960-01-01', '7.7']","['Prithviraj Kapoor', 'Dilip Kumar', 'Aman']"
"['tt0054115', ""['Drama', 'Thriller', 'Crime']"", 'Never Let Go', '1960-01-01', '7.6']","['Richard Todd', 'Peter Sellers', 'Adam Faith']"
"['tt0054119', ""['Romance', 'Drama', 'Music']"", 'Niewinni czarodzieje', '1960-12-17', '7.7']","['Tadeusz Lomnicki', 'Jerzy Skolimowski']"
"['tt0054130', ""['Drama']"", 'La notte', '1961-01-23', '7.7']","['Marcello Mastroianni', 'Bernhard Wicki', 'Ennio Flaiano', 'Tonino Guerra']"
"['tt0054144', ""['Drama']"", '女が階段を上る時', '1960-01-15', '8.1']","['Tatsuya Nakadai', 'Masayuki Mori', 'Toshirô Mayuzumi']"
"['tt0054167', ""['Horror', 'Thriller']"", 'Peeping Tom', '1960-04-06', '7.6']","['Karlheinz Böhm', 'Leo Marks', 'Otto Heller']"
"['tt0054176', ""['Comedy', 'Family', 'Fantasy']"", 'Peter Pan', '1960-01-01', '7.3']","['Cyril Ritchard', 'J.M. Barrie']"
"['tt0054177', ""['Drama', 'War']"", 'Le petit soldat', '1963-01-25', '7.3']","['Michel Subor', 'Henri-Jacques Huet', 'Paul Beauvais', 'Georges de Beauregard', 'Raoul Coutard']"
"['tt0054189', ""['Crime', 'Drama', 'Thriller']"", 'Plein soleil', '1960-03-10', '7.3']","['Alain Delon', 'Maurice Ronet', 'Erno Crisa', 'René Clément', 'Paul Gégauff']"
"['tt0054205', ""['Documentary']"", 'Primary', '1960-01-01', '7.0']","['Hubert H. Humphrey', 'Joseph Julian', 'Robert F. Kennedy']"
"['tt0054209', ""['Thriller']"", 'Private Property', '1960-01-20', '7.5']","['Jules Maitland', 'Corey Allen', 'Warren Oates', 'Jerome Cowan', 'Robert Wark']"
