tt0053750,Drama,TheDarkattheTopoftheStairs,1960-09-28,7.1,640,"['MaxSteiner', 'composer']","['RobertPreston', 'actor']","['DorothyMcGuire', 'actress']","['EveArden', 'actress']","['AngelaLansbury', 'actress']","['DelbertMann', 'director']","['HarrietFrankJr.', 'writer']","['IrvingRavetch', 'writer']","['WilliamInge', 'writer']","['MichaelGarrison', 'producer']"
tt0053779,Comedy,Drama,Ladolcevita,1960-02-05,8.0,60291,"['GiuseppeAmato', 'producer']","['MarcelloMastroianni', 'actor']","['AnitaEkberg', 'actress']","['AnoukAimée', 'actress']","['YvonneFurneaux', 'actress']","['FedericoFellini', 'director']","['EnnioFlaiano', 'writer']","['TullioPinelli', 'writer']","['BrunelloRondi', 'writer']","['PierPaoloPasolini', 'writer']"
tt0053793,Drama,ElmerGantry,1960-06-19,7.8,9462,"['MarjorieFowler', 'editor']","['BurtLancaster', 'actor']","['JeanSimmons', 'actress']","['ArthurKennedy', 'actor']","['DeanJagger', 'actor']","['RichardBrooks', 'director']","['SinclairLewis', 'writer']","['BernardSmith', 'producer']","['AndréPrevin', 'composer']","['JohnAlton', 'cinematographer']"
tt0053879,Comedy,TheGreatImpostor,1961-03-01,7.0,1048,"['RobertBurks', 'cinematographer']","['TonyCurtis', 'actor']","['KarlMalden', 'actor']","['""EdmondOBrien""', 'actor']","['""ArthurOConnell""', 'actor']","['RobertMulligan', 'director']","['RobertCrichton', 'writer']","['""LiamOBrien""', 'writer']","['RobertArthur', 'producer']","['HenryMancini', 'composer']"
tt0053901,Drama,War,HelltoEternity,1960-08-01,7.0,946,"['LeithStevens', 'composer']","['JeffreyHunter', 'actor']","['DavidJanssen', 'actor']","['VicDamone', 'actor']","['PatriciaOwens', 'actress']","['PhilKarlson', 'director']","['TedSherdeman', 'writer']","['WalterRoeberSchmidt', 'writer']","['GilDoud', 'writer']","['IrvingH.Levin', 'producer']"
tt0053946,Drama,History,InherittheWind,1960-06-24,8.1,25243,"['ErnestGold', 'composer']","['SpencerTracy', 'actor']","['FredricMarch', 'actor']","['GeneKelly', 'actor']","['DickYork', 'actor']","['StanleyKramer', 'director']","['NedrickYoung', 'writer']","['HaroldJacobSmith', 'writer']","['JeromeLawrence', 'writer']","['RobertE.Lee', 'writer']"
tt0053976,Crime,Drama,Jungfrukällan,1960-02-08,8.1,24320,"['P.A.Lundgren', 'production_designer']","['MaxvonSydow', 'actor']","['BirgittaValberg', 'actress']","['GunnelLindblom', 'actress']","['BirgittaPettersson', 'actress']","['IngmarBergman', 'director']","['UllaIsaksson', 'writer']","['ErikNordgren', 'composer']","['SvenNykvist', 'cinematographer']","['OscarRosander', 'editor']"
tt0053989,,乾いた湖,1960-08-30,6.9,104,"['MasaoKosugi', 'cinematographer']","['""ShinichirôMikami""', 'actor']","['ShimaIwashita', 'actress']","['KayokoHonoo', 'actress']","['HizuruTakachiho', 'actress']","['MasahiroShinoda', 'director']","['EijiShinba', 'writer']","['ShûjiTerayama', 'writer']","['TetsuoUeno', 'producer']","['TôruTakemitsu', 'composer']"
tt0054021,Drama,LetNoManWriteMyEpitaph,1960-11-10,7.0,390,"['BurnettGuffey', 'cinematographer']","['BurlIves', 'actor']","['ShelleyWinters', 'actress']","['JamesDarren', 'actor']","['JeanSeberg', 'actress']","['PhilipLeacock', 'director']","['WillardMotley', 'writer']","['RobertPresnellJr.', 'writer']","['BorisKaplan', 'producer']","['GeorgeDuning', 'composer']"
tt0054037,War,Drama,TheLongandtheShortandtheTall,1961-02-28,6.8,668,"['GordonStone', 'editor']","['RichardTodd', 'actor']","['RichardHarris', 'actor']","['RonaldFraser', 'actor']","['DavidMcCallum', 'actor']","['LeslieNorman', 'director']","['WillisHall', 'writer']","['WolfMankowitz', 'writer']","['MichaelBalcon', 'producer']","['ErwinHillier', 'cinematographer']"
