tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0009062,['Comedy'],Das fidele Gefängnis,1917-11-30,9.5,1,"['nm0631025', 'actress']","['nm0509573', 'actor']","['nm0417837', 'actor']","['nm0081510', 'actor']","['nm0778218', 'actor']","['nm0523932', 'director']","['nm0006310', 'composer']","['nm0005882', 'cinematographer']","['nm0234118', 'actress']","['nm0223038', 'actress']"
tt0009369,"['Comedy', 'Drama']",Mickey,1918-08-01,7.5,4,"['nm0413164', 'cinematographer']","['nm0635667', 'actress']","['nm0629589', 'actor']","['nm0479126', 'actress']","['nm0168595', 'actor']","['nm0428059', 'director']","['nm0949648', 'director']","['nm0215874', 'writer']","['nm0370271', 'writer']","['nm0784407', 'producer']"
tt0009652,['Drama'],Stella Maris,1918-01-21,7.6,7,"['nm0189684', 'actress']","['nm0681933', 'actress']","['nm0914003', 'actress']","['nm0822059', 'actor']","['nm0853604', 'actor']","['nm0624714', 'director']","['nm0516810', 'writer']","['nm0547966', 'writer']","['nm0833115', 'cinematographer']","['nm0543583', 'actress']"
tt0009878,['Drama'],Anders als die Andern,1919-05-28,7.0,7,"['nm1911898', 'editor']","['nm0891998', 'actor']","['nm0174925', 'actor']","['nm0903095', 'actress']","['nm0929700', 'actress']","['nm0652650', 'director']","['nm0386589', 'writer']","['nm2078034', 'composer']","['nm0776169', 'composer']","['nm0268732', 'cinematographer']"
tt0009893,['Comedy'],Die Austernprinzessin,1919-06-16,7.4,11,"['nm0725310', 'production_designer']","['nm0418131', 'actor']","['nm0652661', 'actress']","['nm0509573', 'actor']","['nm0266254', 'actor']","['nm0523932', 'director']","['nm0473134', 'writer']","['nm0204029', 'composer']","['nm0005882', 'cinematographer']","['nm0322843', 'production_designer']"
tt0010040,"['Drama', 'Comedy']",Daddy-Long-Legs,1919-05-11,7.4,5,"['nm0486041', 'actress']","['nm0681933', 'actress']","['nm0202633', 'actress']","['nm0368665', 'actress']","['nm0501619', 'actress']","['nm0624714', 'director']","['nm0916914', 'writer']","['nm0426515', 'writer']","['nm0003546', 'cinematographer']","['nm0358029', 'actor']"
tt0010071,[],Don't Change Your Husband,1919-01-26,7.0,3,"['nm0269671', 'actress']","['nm0223296', 'actor']","['nm0841797', 'actress']","['nm0168595', 'actor']","['nm0039276', 'actress']","['nm0001124', 'director']","['nm0534221', 'writer']","['nm0005931', 'cinematographer']","['nm0061640', 'editor']","['nm0731623', 'actor']"
tt0010146,"['Comedy', 'Action']",From Hand to Mouth,1919-12-28,7.1,4,"['nm0516001', 'actor']","['nm0205192', 'actress']","['nm0689444', 'actor']","['nm0142195', 'actress']","['nm0332531', 'director']","['nm0730018', 'director']","['nm0907778', 'writer']","['nm1084708', 'producer']","['nm0004592', 'composer']"
tt0010307,"['War', 'Drama']",J'accuse!,1919-04-25,7.9,7,"['nm0286979', 'cinematographer']","['nm0431069', 'actor']","['nm0221298', 'actor']","['nm0786313', 'actor']","['nm0349940', 'actress']","['nm0304098', 'director']","['nm0665572', 'producer']","['nm0004592', 'composer']","['nm0119704', 'cinematographer']","['nm0005662', 'cinematographer']"
tt0010323,"['Drama', 'Horror', 'Thriller', 'Crime']",Das Cabinet des Dr. Caligari,1920-02-25,7.7,279,"['nm0110640', 'composer']","['nm0470328', 'actor']","['nm0891998', 'actor']","['nm0270415', 'actor']","['nm0196820', 'actress']","['nm0927468', 'director']","['nm0562346', 'writer']","['nm0417917', 'writer']","['nm0031350', 'composer']","['nm0005959', 'composer']"
