tt0052607,['Comedy'],TheBattleoftheSexes,1960-02-25,7.2,"['PeterSellers', 'RobertMorley', 'JamesonClark']",nm0187769
tt0052680,"['Comedy', 'Drama', 'Romance']",CashMcCall,1960-01-27,7.5,"['JamesGarner', 'DeanJagger', 'JosephPevney']",nm0678928
tt0052997,"['Comedy', 'Crime', 'Thriller']",TheLeagueofGentlemen,1960-04-05,7.1,"['JackHawkins', 'NigelPatrick', 'RogerLivesey', 'RichardAttenborough', 'BryanForbes']",nm0213136
tt0053106,"['Drama', 'Romance']",Неотправленноеписьмо,1960-06-27,7.5,"['InnokentiySmoktunovskiy', 'VasiliyLivanov', 'EvgeniyUrbanskiy']",nm0435563
tt0053244,['Drama'],TheSavageInnocents,1960-03-20,7.4,"['AnthonyQuinn', 'PeterOToole', 'CarloGiustini', 'NicholasRay']",nm0712947
tt0053279,['Drama'],LeSignedulion,1962-05-03,7.1,"['JessHahn', 'VanDoude', 'PaulBisciglia', 'ÉricRohmer', 'PaulGégauff', 'ClaudeChabrol']",nm0006445
tt0053459,"['Drama', 'Horror', 'Thriller']",LesYeuxsansvisage,1960-01-11,7.5,"['PierreBrasseur', 'AlexandreRignault']",nm0290802
tt0053472,"['Drama', 'Crime']",Àboutdesouffle,1960-03-16,7.7,"['RaoulCoutard', 'Jean-PaulBelmondo', 'DanielBoulanger', 'Henri-JacquesHuet', 'ClaudeChabrol', 'GeorgesdeBeauregard']",nm0000419
tt0053579,['Drama'],Akibiyori,1960-11-13,7.7,"['KeijiSada', 'TonSatomi']",nm0654868
tt0053602,['Drama'],TheAngrySilence,1960-03-10,7.4,"['RichardAttenborough', 'MichaelCraig', 'BernardLee', 'BryanForbes']",nm0337885
tt0053604,"['Comedy', 'Drama', 'Romance']",TheApartment,1960-06-15,8.1,"['JackLemmon', 'FredMacMurray', 'RayWalston']",nm0000697
tt0053619,"['Drama', 'Mystery']",Lavventura,1960-05-15,7.6,"['GabrieleFerzetti', 'ToninoGuerra']",nm0000774
tt0053690,"['Drama', 'Music', 'Romance']",Can-Can,1960-03-09,7.2,"['RobertL.Simpson', 'FrankSinatra', 'MauriceChevalier', 'LouisJourdan', 'WalterLang']",nm0485943
tt0053724,"['Comedy', 'Drama']",Elcochecito,1960-11-03,7.1,"['JoséIsbert', 'PedroPorcel', 'JoséLuisLópezVázquez', 'MarcoFerreri', 'RafaelAzcona']",nm0274659
tt0053740,"['Crime', 'Drama']",TheCriminal,1960-09-13,7.1,"['StanleyBaker', 'SamWanamaker', 'GrégoireAslan', 'AlunOwen']",nm0521334
tt0053750,['Drama'],TheDarkattheTopoftheStairs,1960-09-28,7.0,"['RobertPreston', 'IrvingRavetch', 'WilliamInge', 'MichaelGarrison']",nm0542720
tt0053779,"['Comedy', 'Drama']",Ladolcevita,1960-02-05,7.9,"['MarcelloMastroianni', 'EnnioFlaiano', 'PierPaoloPasolini']",nm0000019
tt0053793,['Drama'],ElmerGantry,1960-06-19,7.3,"['BurtLancaster', 'ArthurKennedy', 'DeanJagger', 'SinclairLewis']",nm0112218
tt0053879,['Comedy'],TheGreatImpostor,1961-03-01,7.5,"['TonyCurtis', 'KarlMalden', 'EdmondOBrien', 'ArthurOConnell', 'RobertMulligan']",nm0612322
tt0053901,"['Drama', 'War']",HelltoEternity,1960-08-01,10.0,"['JeffreyHunter', 'DavidJanssen', 'VicDamone']",nm0439597
tt0053946,"['Drama', 'History']",InherittheWind,1960-06-24,7.6,"['SpencerTracy', 'FredricMarch', 'GeneKelly', 'DickYork', 'NedrickYoung', 'HaroldJacobSmith']",nm0006452
tt0053976,"['Crime', 'Drama']",Jungfrukällan,1960-02-08,7.8,"['MaxvonSydow', 'IngmarBergman', 'SvenNykvist', 'OscarRosander']",nm0000005
tt0053989,[''],乾いた湖,1960-08-30,7.0,['ShinichirôMikami'],nm0793983
tt0054021,['Drama'],LetNoManWriteMyEpitaph,1960-11-10,10.0,"['BurlIves', 'JamesDarren']",nm0494885
tt0054037,"['War', 'Drama']",TheLongandtheShortandtheTall,1961-02-28,7.3,"['RichardTodd', 'RichardHarris', 'RonaldFraser', 'DavidMcCallum', 'WolfMankowitz']",nm0635554
tt0054042,"['Drama', 'Fantasy', 'Mystery']",Macario,1960-05-09,7.3,"['IgnacioLópezTarso', 'EnriqueLucero', 'MarioAlbertoRodríguez', 'B.Traven']",nm0310449
